doc,word,value,value2
job5,production,2.099,0.139
job5,proficient,0.0,0.0
job5,programming,1.0,0.066
job5,project,0.0,0.0
job5,proven,0.0,0.0
job5,python,0.0,0.0
job5,r,0.0,0.0
job5,related,0.0,0.0
job5,relevant,0.0,0.0
job5,sas,0.0,0.0
job5,scala,0.0,0.0
job5,science,0.0,0.0
job5,scientific,0.0,0.0
job5,skill,1.405,0.093
job5,sophisticated,0.0,0.0
job5,spark,0.0,0.0
job5,sql,0.0,0.0
job5,statistic,0.0,0.0
job5,statistical,0.0,0.0
job5,strong,1.588,0.105
job5,tableau,0.0,0.0
job5,technique,0.0,0.0
job5,three,0.0,0.0
job5,time,1.811,0.12
job5,tool,0.0,0.0
job5,understanding,1.811,0.12
job5,using,0.0,0.0
job5,variety,0.0,0.0
job5,visualizing,0.0,0.0
job5,web,7.512,0.496
job5,website,2.099,0.139
job5,written,0.0,0.0
job5,year,0.0,0.0
job6,ability,1.405,0.109
job6,adobe,2.504,0.194
job6,advanced,0.0,0.0
job6,advertisement,2.099,0.162
job6,analysis,0.0,0.0
job6,analytic,0.0,0.0
job6,analyzing,0.0,0.0
job6,architecture,0.0,0.0
job6,aws,0.0,0.0
job6,bachelor,0.0,0.0
job6,background,1.251,0.097
job6,bioinformatics,0.0,0.0
job6,communicate,0.0,0.0
job6,contact,0.0,0.0
job6,corporate,0.0,0.0
job6,cs5,2.504,0.194
job6,data,0.0,0.0
job6,database,0.0,0.0
job6,datasets,0.0,0.0
job6,deadline,1.811,0.14
job6,degree,0.0,0.0
job6,delivering,0.0,0.0
job6,design,3.176,0.246
job6,designer,2.099,0.162
job6,discipline,0.0,0.0
job6,dreamweaver,2.504,0.194
job6,effective,1.811,0.14
job6,excellent,1.811,0.14
job6,experience,1.0,0.077
job6,experienced,2.504,0.194
job6,field,4.198,0.325
job6,five,0.0,0.0
job6,following,0.0,0.0
job6,four,0.0,0.0
job6,graphic,3.622,0.28
job6,html,0.0,0.0
job6,identity,0.0,0.0
job6,illustrator,1.811,0.14
job6,interactive,0.0,0.0
job6,java,0.0,0.0
job6,job1mail,0.0,0.0
job6,job44mail,0.0,0.0
job6,knowledge,0.0,0.0
job6,language,0.0,0.0
job6,large,0.0,0.0
job6,learning,0.0,0.0
job6,mac,2.504,0.194
job6,machine,0.0,0.0
job6,management,1.811,0.14
job6,managing,0.0,0.0
job6,marketing,1.811,0.14
job6,matlab,0.0,0.0
job6,medium,0.0,0.0
job6,meet,1.811,0.14
job6,method,0.0,0.0
job6,modelling,0.0,0.0
job6,multimedia,2.099,0.162
job6,number,0.0,0.0
job6,one,0.0,0.0
job6,oral,0.0,0.0
job6,packaging,2.099,0.162
job6,photoshop,1.811,0.14
job6,platform,2.504,0.194
job6,please,0.0,0.0
job6,predictive,0.0,0.0
job6,product,2.099,0.162
job6,production,0.0,0.0
job6,proficient,1.811,0.14
job6,programming,1.0,0.077
job6,project,0.0,0.0
job6,proven,0.0,0.0
job6,python,0.0,0.0
job6,r,0.0,0.0
job6,related,3.622,0.28
job6,relevant,0.0,0.0
job6,sas,0.0,0.0
job6,scala,0.0,0.0
job6,science,0.0,0.0
job6,scientific,0.0,0.0
job6,skill,2.81,0.217
job6,sophisticated,0.0,0.0
job6,spark,0.0,0.0
job6,sql,0.0,0.0
job6,statistic,0.0,0.0
job6,statistical,0.0,0.0
job6,strong,0.0,0.0
job6,tableau,0.0,0.0
job6,technique,0.0,0.0
job6,three,1.588,0.123
job6,time,1.811,0.14
job6,tool,0.0,0.0
job6,understanding,1.811,0.14
job6,using,0.0,0.0
job6,variety,0.0,0.0
job6,visualizing,0.0,0.0
job6,web,0.0,0.0
job6,website,0.0,0.0
job6,written,0.0,0.0
job6,year,1.251,0.097
job7,ability,1.405,0.118
job7,adobe,0.0,0.0
job7,advanced,0.0,0.0
job7,advertisement,0.0,0.0
job7,analysis,0.0,0.0
job7,analytic,0.0,0.0
job7,analyzing,0.0,0.0
job7,architecture,0.0,0.0
job7,aws,0.0,0.0
job7,bachelor,0.0,0.0
job7,background,0.0,0.0
job7,bioinformatics,6.297,0.529
job7,communicate,2.099,0.176
job7,contact,0.0,0.0
job7,corporate,0.0,0.0
job7,cs5,0.0,0.0
job7,data,1.405,0.118
job7,database,2.099,0.176
job7,datasets,0.0,0.0
job7,deadline,0.0,0.0
job7,degree,0.0,0.0
job7,delivering,0.0,0.0
job7,design,0.0,0.0
job7,designer,0.0,0.0
job7,discipline,0.0,0.0
job7,dreamweaver,0.0,0.0
job7,effective,0.0,0.0
job7,excellent,3.622,0.304
job7,experience,2.0,0.168
job7,experienced,0.0,0.0
job7,field,0.0,0.0
job7,five,0.0,0.0
job7,following,0.0,0.0
job7,four,2.099,0.176
job7,graphic,0.0,0.0
job7,html,0.0,0.0
job7,identity,0.0,0.0
job7,illustrator,0.0,0.0
job7,interactive,0.0,0.0
job7,java,0.0,0.0
job7,job1mail,0.0,0.0
job7,job44mail,0.0,0.0
job7,knowledge,0.0,0.0
job7,language,1.405,0.118
job7,large,0.0,0.0
job7,learning,1.405,0.118
job7,mac,0.0,0.0
